Hospital Provider,Finished Consultant Episodes,Admissions,Male,Female,Emergency,Waiting List,Mean Waiting Time,Median Waiting Time,Mean Length of Stay,Median Length of Stay,Mean Age,Age 0-14,Age 15-59,Age 60-74,Age 75+,Inpatient,Daycase,Beddays
Total (All Welsh Trusts),712252,643474,311230,400934,328475,140511,122,60,10.0,3,51,75589,317641,150188,168756,569527,131320,4139884
RVD - Bro Morgannwg NHS Trust,58270,53869,25480,32790,24713,10719,71,28,8.4,2,53,4523,26190,12681,14874,45943,12327,349707
RWM - Cardiff & Vale NHS Trust,101054,95630,44335,56712,45376,19830,157,72,8.4,2,44,18127,46591,18098,18207,84772,16282,661064
RVA - Carmarthenshire NHS Trust ,44589,41390,19888,24701,18199,11979,111,56,7.9,3,55,2671,19594,10996,11324,31296,13293,220056
RKU - Ceredigion and Mid Wales NHS Trust,13271,11668,5743,7528,6308,3294,99,46,6.4,2,54,1292,5357,2775,3847,11033,2238,60657
RT8 - Conwy and Denbighshire NHS Trust,64174,58231,26599,37551,28123,13158,81,49,6.7,2,53,5359,27644,14655,16504,49338,14836,292646
RVF - Gwent Healthcare NHS Trust ,111775,100680,47387,64360,55212,25237,131,64,20.4,3,52,9684,51678,23285,27126,84841,16959,662437
RT9 - North East Wales NHS Trust,48368,43161,20857,27494,22070,9048,139,77,8.3,3,52,4357,22336,10060,11606,38732,9636,279840
RRS - North Glamorgan NHS Trust,38119,33043,16681,21438,21666,4439,109,63,7.3,2,48,5212,17115,7347,8445,33051,5068,208319
RT7 - North West Wales NHS Trust,53596,45138,24116,29469,22791,8391,98,66,8.6,3,55,4483,21259,12486,15367,41710,10599,286872
RR6 - Pembrokeshire and Derwen NHS Trust,27865,24900,12127,15738,14422,4706,178,84,11.8,3,52,2285,13089,6073,6417,22446,5331,221091
RVE - Pontypridd and Rhondda NHS Trust,50170,41599,21864,28306,19903,9618,113,69,7.2,2,51,5691,21687,10659,12133,41327,8788,239443
6C4 - Powys LHB,8672,8145,3360,5312,5452,1035,91,49,17.9,7,68,48,2316,1801,4507,8044,628,120587
RVC - Swansea NHS Trust,89302,82993,41435,47866,42659,19057,138,62,7.6,2,48,11857,41292,18135,18002,74478,14824,517575
RQF - Velindre NHS Trust,3027,3027,1358,1669,1581,?,?,?,7.8,5,59,-,1493,1137,397,2516,511,19590
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
